Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	66856	1	OK	0.6454311	-0.5034589	0.3835911	0.4275578	-80.971	96.225	424.311	0.2265137	0
1	Port 2: NDI 8700340  s/n:34802401	66857	1	OK	0.6456751	-0.5039640	0.3837536	0.4264471	-81.120	96.163	424.385	0.2256326	0
1	Port 2: NDI 8700340  s/n:34802401	66858	1	OK	0.6451582	-0.5033630	0.3841333	0.4275957	-81.144	96.219	424.242	0.2299480	0
1	Port 2: NDI 8700340  s/n:34802401	66859	1	OK	0.6448103	-0.5033992	0.3848749	0.4274110	-81.007	96.229	424.259	0.2259032	0
1	Port 2: NDI 8700340  s/n:34802401	66860	1	OK	0.6447567	-0.5030648	0.3845844	0.4281464	-81.006	96.218	424.023	0.2111861	0
1	Port 2: NDI 8700340  s/n:34802401	66861	1	OK	0.6445628	-0.5036504	0.3853439	0.4270657	-81.210	96.098	424.069	0.2314004	0
1	Port 2: NDI 8700340  s/n:34802401	66862	1	OK	0.6445757	-0.5036694	0.3852465	0.4271118	-80.962	96.184	423.789	0.2055274	0
1	Port 2: NDI 8700340  s/n:34802401	66863	1	OK	0.6441624	-0.5039288	0.3858598	0.4268756	-81.091	96.003	423.716	0.2109765	0
1	Port 2: NDI 8700340  s/n:34802401	66864	1	OK	0.6444714	-0.5041930	0.3854772	0.4264426	-80.817	96.121	423.356	0.2054813	0
1	Port 2: NDI 8700340  s/n:34802401	66865	1	OK	0.6440919	-0.5044948	0.3863965	0.4258267	-80.724	96.135	423.136	0.2344186	0
1	Port 2: NDI 8700340  s/n:34802401	66866	1	OK	0.6433589	-0.5046727	0.3874551	0.4257621	-80.395	96.227	422.852	0.2226262	0
1	Port 2: NDI 8700340  s/n:34802401	66867	1	OK	0.6436509	-0.5056860	0.3875601	0.4240194	-80.262	96.328	422.459	0.2105956	0
1	Port 2: NDI 8700340  s/n:34802401	66868	1	OK	0.6430675	-0.5065353	0.3886238	0.4229156	-79.865	96.439	422.129	0.2115383	0
1	Port 2: NDI 8700340  s/n:34802401	66869	1	OK	0.6431884	-0.5074125	0.3885120	0.4217815	-79.983	96.103	421.639	0.2029321	0
1	Port 2: NDI 8700340  s/n:34802401	66870	1	OK	0.6431651	-0.5084994	0.3892029	0.4198668	-79.721	96.272	421.128	0.2083607	0
1	Port 2: NDI 8700340  s/n:34802401	66871	1	OK	0.6423885	-0.5096027	0.3906243	0.4183955	-79.442	96.213	420.690	0.2346166	0
1	Port 2: NDI 8700340  s/n:34802401	66872	1	OK	0.6428596	-0.5112909	0.3905828	0.4156419	-78.911	96.342	420.069	0.2131309	0
